Date,iv_call,skewness_call,iv_put,skewness_put,RSI,K,D,KDminus,macd,macd_signal,macd_hist,ma5,ma20,returns,returns_
2019-01-17,0.023713175,-0.0069460680000000006,0.08172578,-0.042991123,55.15509289864045,80.73642611514087,80.77840767709525,-0.04198156195437264,1.3168973688898404,-30.816323611121675,32.133220980011515,9765.324023600002,9650.886914050003,0.0025920203629917478,1.0
2019-01-18,0.089566688,-0.003780972,0.09241625199999999,-0.036400382,57.50656056740313,79.37731243139635,79.09922281007037,0.27808962132597514,11.425839462061049,-22.36789099648513,33.79373045854618,9780.6558594,9653.529394500003,0.004780511233146853,1.0
2019-01-21,0.027953161,-0.0536441,0.014959233,-0.055635585,60.101756121501445,85.65829358780827,81.92401071144856,3.734282876359714,23.47085001981941,-13.200142793224222,36.67099281304363,9816.8919922,9664.273437500004,0.005408335331501059,1.0
2019-01-22,0.018764755,-0.021633267999999997,0.003507125,-0.02726527,60.36216353948626,88.71880004513072,84.58480202144517,4.13399802368555,33.05993242239674,-3.948127750100028,37.00806017249677,9834.6160156,9675.172949200003,0.0005317174511700462,0.0
2019-01-23,0.05280018400000001,-0.04711391,0.069021195,-0.005992044,56.66057636606725,74.79819991223633,83.05843118172517,-8.260231269488841,36.34621308057103,4.110740416034185,32.23547266453685,9851.134179800001,9685.507959000002,-0.004889287586456987,0.0
2019-01-24,0.009267201,-0.084949082,0.07157134,-0.022368849,58.430750785619445,69.87469435518794,77.79723143751839,-7.92253708233045,40.95730896853456,11.480054126534261,29.4772548420003,9868.728125,9703.009472650003,0.003115037280303497,1.0
2019-01-25,0.09779716,-0.00662138,0.02554898,-0.000321685,63.34775535540871,72.83203950798506,72.50164459180317,0.33039491618188777,51.4813793768426,19.480319176595927,32.00106020024667,9895.438281400002,9727.540478550003,0.009320518028052257,1.0
2019-01-28,0.033987577000000005,-0.033012047999999995,0.034492016,-0.012975752,65.45485722567555,86.85341331559994,76.52004905959105,10.333364256008892,62.62766476937213,28.10978829515117,34.51787647422096,9920.2242188,9746.129003950002,0.004375711964019261,0.0
2019-01-29,0.08078601099999999,-0.0035731590000000002,0.026241514,-0.054649542,58.58541503855639,81.0390227397546,80.24149185444661,0.7975308853079923,64.12621540147484,35.3130737164159,28.813141685058937,9927.610156400002,9756.337988350002,-0.008196642750331192,0.0
2019-01-30,0.015882273,-0.060936190999999994,0.05017568099999999,-0.019671745,58.62423923800888,66.3405340082575,78.07765668787074,-11.737122679613236,64.62295152176557,41.17504927748583,23.44790224427974,9944.782031400002,9775.243994250002,6.745137658672487e-05,1.0
